polydispersity,average_face_degree,percentage_flag,energy
0.000216940235931773,13.814,98.4,5.33785
0.000222563652373831,13.84,97.6,5.33618
0.000486544712958947,13.826,98.4,5.33614
0.00128536429164505,13.786,98.4,5.33007
0.00199074226649953,13.84,95.7,5.32764
0.00265090381597612,13.794,98.4,5.32415
0.00347640819866579,13.786,98,5.32039
0.00444551709821228,13.79,97.4,5.31687
0.00573082802240821,13.77,97.7,5.3082
0.00723752789318266,13.712,99.2,5.29869
0.00764772303686745,13.738,97.6,5.29662
0.00801832763891719,13.756,98,5.29764
0.00840146042775114,13.738,99.6,5.29479
0.00894648087363703,13.712,99.6,5.29074
0.00917339469014111,13.73,99.2,5.2914
0.00954189337778155,13.744,99.2,5.28857
0.0101114961412032,13.724,98.8,5.28778
0.0105205078312558,13.734,98.5,5.28513
0.0111543527340778,13.726,98.8,5.28269
0.0119252814650954,13.702,99.6,5.27953
0.0122015162414424,13.702,98.4,5.27953
0.0125682384931984,13.7,98.4,5.2752
0.0132591195767524,13.712,99.2,5.27163
0.0138004999645669,13.682,99.6,5.26863
0.0143525935932609,13.69,98,5.26596
0.0147496432944025,13.678,99.2,5.26596
0.0151905147686953,13.688,99.6,5.26245
0.0158885900503354,13.672,99.6,5.2595
0.0166632292755373,13.66,100,5.2595
0.0168158127008762,13.662,98.4,5.25329
0.0174001803355472,13.656,99.4,5.25157
0.0178756375313815,13.648,99.6,5.24939
0.0184738337808981,13.658,98,5.24612
0.0191321818690464,13.646,98.8,5.24362
0.0194817047010771,13.628,99.8,5.24213
0.0203330398785679,13.64,97.6,5.23674
0.0207076794752941,13.622,100,5.23383
0.0214796954923198,13.602,100,5.23134
0.0222158736115803,13.616,98.8,5.22703
0.0227210570874513,13.606,100,5.22494
0.0234974575748041,13.614,98.6,5.22208
0.0240631537196523,13.6,98.4,5.21916
0.0245169313315072,13.59,99.2,5.21635
0.0254185906660842,13.58,100,5.21193
0.0262367192252264,13.586,100,5.20945
0.0270131412127446,13.588,98.4,5.20504
0.0273264082158335,13.566,99.2,5.20504
0.0283255730901022,13.546,99.2,5.19986
0.0291078976510797,13.58,99.2,5.19505
0.0298287210040222,13.55,99.8,5.19184
0.0302505644533198,13.542,99.6,5.19079
0.0312037863966794,13.564,99.2,5.18762
0.0320056986133899,13.538,99.2,5.18313
0.0327225333514223,13.518,99.6,5.17939
0.0341058745959973,13.508,99.6,5.17173
0.0344967157095051,13.518,98.8,5.17062
0.0359036336431525,13.53,99.4,5.16453
0.0363421768099461,13.49,100,5.16039
0.0376630011587114,13.49,100,5.15729
0.0382279713824192,13.494,98.8,5.15167
0.0394528526977411,13.49,98.4,5.14841
0.0400037824098574,13.484,99.2,5.14762
0.0407481396375142,13.506,98.8,5.14358
0.0422563303959875,13.456,99.2,5.1347
0.0430066030968533,13.448,99.6,5.13211
0.0447780220094005,13.426,100,5.12412
0.0457329769882263,13.388,100,5.11991
0.0466335103456317,13.432,100,5.11735
0.0474637823783619,13.424,98.8,5.11199
0.0482233164882602,13.39,99.8,5.11025
0.0496112247022218,13.422,99.2,5.1051
0.0503160548580162,13.398,99.3,5.10077
0.051108815402725,13.392,99.2,5.09657
0.0524248601163266,13.368,99.6,5.08777
0.0532521500248015,13.37,99,5.08772
0.0541719722590659,13.354,99.8,5.08343
0.0563797353583992,13.35,99.2,5.07061
0.0572818634594852,13.338,99.6,5.06768
0.0591111149037283,13.288,100,5.06097
0.0599364279592169,13.322,99.8,5.05913
0.0604936113893879,13.298,99.2,5.05457
0.0618924268112011,13.31,100,5.04732
0.0631200520618425,13.288,100,5.04451
0.0650580722537495,13.284,100,5.03434
0.0661060360404959,13.278,99.2,5.03028
0.0677429525490933,13.268,99.6,5.02206
0.0694104077041802,13.248,98.3,5.01471
0.0702344567964546,13.242,99.6,5.01471
0.0716412373138124,13.236,99.4,5.00671
0.0740264440217525,13.21,99.8,4.99506
0.0753621570478389,13.226,100,4.98766
0.0771787187488125,13.182,99.1,4.97985
0.0794223414514748,13.194,99.1,4.9731
0.0809788297867378,13.174,99.6,4.96536
0.0819401808513622,13.184,99.3,4.96031
0.0831992489317992,13.154,99.6,4.955
0.0852216686033063,13.124,99.7,4.94524
0.0876462515242395,13.084,98.8,4.93985
0.0888693241829528,13.12,99.2,4.93316
0.0909115165698557,13.08,99.1,4.92387
0.0926044041027065,13.094,99.5,4.91585
0.0948775422552111,13.03,99.5,4.90722
0.0973568998178382,13.03,99,4.8967
0.0990474144826823,13.044,99.4,4.88897
0.100569452790212,13.02,98.9,4.88424
0.102533053201358,13.01,100,4.87669
0.104882237255747,12.96,99.2,4.8678
0.107040347980412,12.974,99.5,4.85645
0.109866948591683,12.95,97.6,4.84637
0.111236827099502,12.978,99.1,4.84072
0.114087190249963,12.946,100,4.828
0.115096573744999,12.892,98.9,4.8286
0.117573126708663,12.892,98.4,4.81717
0.119578737901272,12.872,99.4,4.8085
0.121499630984363,12.88,99,4.80181
0.123537429943111,12.83,98.8,4.79406
0.125793262862624,12.86,99,4.78069
0.127925347854214,12.828,98.6,4.77566
0.130216036021546,12.842,99.1,4.76321
0.134101975624874,12.802,96.4,4.74994
0.135789304126437,12.75,96.9,4.74658
0.137952126031825,12.772,98.7,4.73612
