#  foam_annealed3_s4.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3296807  0.000061   1.6850  0.000301  1000
    0.0000  5.3295116  0.095819  33.3347  0.000301  1000
    0.0100  5.3290253  0.097894  32.7150  0.000315  1000
    0.0200  5.3285359  0.099813  19.5664  0.000330  1000
    0.0300  5.3280473  0.101996  15.6138  0.000347  1000
    0.0400  5.3275580  0.104124  12.0505  0.000366  1000
    0.0500  5.3270677  0.106266   5.0481  0.000386  1000
    0.0600  5.3265762  0.108359   4.0873  0.000408  1000
    0.0700  5.3260835  0.108667   9.4599  0.000431  1000
    0.0800  5.3255895  0.107491   9.6830  0.000456  1000
    0.0900  5.3250943  0.106327   3.9641  0.000482  1000
    0.1000  5.3245978  0.105028   6.8437  0.000510  1000
    0.1100  5.3240999  0.103913   5.6939  0.000539  1000
    0.1200  5.3236007  0.102592   6.0815  0.000571  1000
    0.1300  5.3231002  0.101289   8.0802  0.000603  1000
    0.1400  5.3225983  0.099977   8.0939  0.000638  1000
    0.1500  5.3220951  0.098498   6.5415  0.000674  1000
    0.1600  5.3215904  0.097083   4.4468  0.000711  1000
    0.1700  5.3210843  0.095559   1.9084  0.000751  1000
    0.1800  5.3205768  0.094139   2.9969  0.000791  1000
    0.1900  5.3200678  0.092463   4.1143  0.000834  1000
    0.2000  5.3195574  0.090710   6.0369  0.000878  1000
    0.2100  5.3190455  0.089034   5.0363  0.000924  1000
    0.2200  5.3185321  0.087207   7.1531  0.000972  1000
    0.2300  5.3180171  0.085257   5.1212  0.001021  1000
    0.2400  5.3175005  0.083199   7.8393  0.001072  1000
    0.2500  5.3169824  0.081134   4.7525  0.001125  1000
    0.2600  5.3164627  0.078895   3.2057  0.001179  1000
    0.2700  5.3159413  0.076256   5.5781  0.001235  1000
    0.2800  5.3154183  0.073522   3.3722  0.001293  1000
    0.2900  5.3148936  0.070649   2.0711  0.001353  1000
    0.3000  5.3143672  0.067157   5.9612  0.001414  1000
    0.3100  5.3138392  0.063272   3.0864  0.001477  1000
    0.3200  5.3133094  0.058340   3.1365  0.001542  1000
    0.3300  5.3127778  0.052755   3.5649  0.001609  1000
    0.3400  5.3122444  0.043685   7.8349  0.001677  1000
    0.3500  5.3117090  0.011793   7.1719  0.001748  1000
    0.3600  5.3111720  0.001950   9.7707  0.001820  1000
    0.3600  5.3111432  0.093674  41.5765  0.001820  1000
    0.3700  5.3106113  0.000243   3.3163  0.001894  1000
    0.3700  5.3105894  0.085821  37.2224  0.001894  1000
    0.3800  5.3100559  0.000304   3.3472  0.001969  1000
    0.3800  5.3100285  0.110815  45.6598  0.001969  1000
    0.3900  5.3094816  0.108514  41.5283  0.002047  1000
    0.4000  5.3089304  0.105785  23.1213  0.002127  1000
    0.4100  5.3083791  0.099083  17.5456  0.002209  1000
    0.4200  5.3078264  0.091212   8.1485  0.002292  1000
    0.4300  5.3072718  0.082274   8.6460  0.002378  1000
    0.4400  5.3067151  0.070558   6.5841  0.002465  1000
    0.4500  5.3061563  0.050886   6.3711  0.002555  1000
    0.4600  5.3055949  0.000192   0.3181  0.002646  1000
    0.4600  5.3055675  0.091395  38.7671  0.002646  1000
    0.4700  5.3050013  0.087165  39.8169  0.002739  1000
    0.4800  5.3044303  0.081537  24.4680  0.002835  1000
    0.4900  5.3038595  0.076451  23.3729  0.002932  1000
    0.5000  5.3032866  0.070363   5.0132  0.003032  1000
    0.5100  5.3027113  0.060632   9.3067  0.003133  1000
    0.5200  5.3021338  0.040644  12.0677  0.003237  1000
    0.5300  5.3015533  0.000337   1.2185  0.003343  1000
    0.5300  5.3016426  0.005019  11.5478  0.003343  1000
    0.5300  5.3014200  0.088142  28.5567  0.003343  1000
    0.5400  5.3008304  0.085294  37.6178  0.003451  1000
    0.5500  5.3002356  0.082800  30.2296  0.003561  1000
    0.5600  5.2996404  0.079468  16.0286  0.003674  1000
    0.5700  5.2990431  0.076470  12.3106  0.003788  1000
    0.5800  5.2984433  0.072916  15.1502  0.003905  1000
    0.5900  5.2978408  0.069543   4.6635  0.004024  1000
    0.6000  5.2972357  0.065594  12.8170  0.004146  1000
    0.6100  5.2966280  0.061980   3.7731  0.004269  1000
    0.6200  5.2960168  0.000084   1.7676  0.004395  1000
    0.6200  5.2959976  0.056954  35.6380  0.004395  1000
    0.6300  5.2953815  0.050942  31.2575  0.004523  1000
    0.6400  5.2947597  0.044755  22.1745  0.004653  1000
    0.6500  5.2941373  0.035932  22.2351  0.004786  1000
    0.6600  5.2935123  0.023571  16.7637  0.004921  1000
    0.6700  5.2928847  0.009920  15.8513  0.005059  1000
    0.6700  5.2929390  0.008056   6.9681  0.005059  1000
    0.6700  5.2927287  0.001322  10.7982  0.005059  1000
    0.6700  5.2927022  0.092190  37.6916  0.005059  1000
    0.6800  5.2920659  0.086461  30.4632  0.005199  1000
    0.6900  5.2914239  0.068439  26.8810  0.005341  1000
    0.7000  5.2907806  0.001247   2.1788  0.005486  1000
    0.7000  5.2907603  0.074772  34.1085  0.005486  1000
    0.7100  5.2901137  0.068098  26.2780  0.005633  1000
    0.7200  5.2894613  0.061398  24.1759  0.005783  1000
    0.7300  5.2888073  0.001475  10.1877  0.005935  1000
    0.7300  5.2887902  0.049106  28.3990  0.005935  1000
    0.7400  5.2881325  0.039650  33.0613  0.006090  1000
    0.7500  5.2874683  0.029262  25.2802  0.006248  1000
    0.7600  5.2868026  0.003679   9.9039  0.006408  1000
    0.7600  5.2868601  0.009688   9.1496  0.006408  1000
    0.7600  5.2866124  0.072682  33.0419  0.006408  1000
    0.7700  5.2859355  0.069709  32.9687  0.006571  1000
    0.7800  5.2852524  0.066502  12.2440  0.006737  1000
    0.7900  5.2845680  0.045098  13.2311  0.006905  1000
    0.8000  5.2838800  0.000886   8.1794  0.007076  1000
    0.8000  5.2838787  0.002074  15.6072  0.007076  1000
    0.8000  5.2838444  0.000311   1.4995  0.007076  1000
    0.8000  5.2838070  0.068400  43.5442  0.007076  1000
    0.8100  5.2831102  0.065017  29.5267  0.007251  1000
    0.8200  5.2824062  0.053377  19.7586  0.007428  1000
    0.8300  5.2817008  0.019006  16.6545  0.007608  1000
    0.8400  5.2809917  0.000408   5.3377  0.007791  1000
    0.8400  5.2809569  0.002318  13.1651  0.007791  1000
    0.8400  5.2807426  0.057460  33.2700  0.007791  1000
    0.8500  5.2800459  0.006780  22.0215  0.007978  1000
    0.8500  5.2799952  0.061995  39.8393  0.007978  1000
    0.8600  5.2792828  0.000787   8.9630  0.008169  1000
    0.8600  5.2792167  0.048858  33.0167  0.008169  1000
    0.8700  5.2784733  0.038937  39.2642  0.008363  1000
    0.8800  5.2777221  0.027698  22.4582  0.008560  1000
    0.8900  5.2769693  0.008800  12.1445  0.008760  1000
    0.8900  5.2770686  0.006322   8.6717  0.008760  1000
    0.8900  5.2768144  0.052101  25.5208  0.008760  1000
    0.9000  5.2760535  0.040866  31.8640  0.008963  1000
    0.9100  5.2752844  0.016998  19.0171  0.009169  1000
    0.9200  5.2745141  0.008570  16.2454  0.009379  1000
    0.9200  5.2745064  0.005993  10.7615  0.009379  1000
    0.9200  5.2742728  0.084838  27.5205  0.009379  1000
    0.9300  5.2734818  0.080228  33.5744  0.009593  1000
    0.9400  5.2726834  0.074367  19.9402  0.009811  1000
    0.9500  5.2718826  0.068173  20.2285  0.010031  1000
    0.9600  5.2710764  0.000316   0.4140  0.010256  1000
    0.9600  5.2710979  0.004847  19.9221  0.010256  1000
    0.9600  5.2710535  0.068962  37.5609  0.010256  1000
    0.9700  5.2702420  0.038089  34.4937  0.010483  1000
    0.9800  5.2694239  0.000136   1.1903  0.010714  1000
    0.9800  5.2693972  0.048451  31.8271  0.010714  1000
    0.9900  5.2686085  0.003282  17.7898  0.010949  1000
    0.9900  5.2684807  0.074332  33.8708  0.010949  1000
    1.0000  5.2676750  0.001779  13.2277  0.011187  1000
    1.0000  5.2676660  0.000998  12.3216  0.011187  1000
    1.0000  5.2676153  0.060609  30.7004  0.011187  1000
    1.0100  5.2667795  0.000809   8.7212  0.011430  1000
    1.0100  5.2666741  0.062049  28.5854  0.011430  1000
    1.0200  5.2658133  0.050534  37.4609  0.011678  1000
    1.0300  5.2649433  0.029904  22.7325  0.011929  1000
    1.0400  5.2640703  0.002852  11.5053  0.012184  1000
    1.0400  5.2641043  0.004187   7.9023  0.012184  1000
    1.0400  5.2637900  0.000824   8.9457  0.012184  1000
    1.0400  5.2638583  0.004395  10.9436  0.012184  1000
    1.0400  5.2636096  0.046232  26.0911  0.012184  1000
    1.0500  5.2626993  0.027792  28.1136  0.012446  1000
    1.0600  5.2617815  0.007131  18.5128  0.012713  1000
    1.0600  5.2617267  0.003490  17.4466  0.012713  1000
    1.0600  5.2615738  0.072952  33.3528  0.012713  1000
    1.0700  5.2606361  0.068364  28.9073  0.012985  1000
    1.0800  5.2596887  0.063661  18.6741  0.013261  1000
    1.0900  5.2587358  0.000887   8.2029  0.013541  1000
