cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 144, 41, 102, 78, 35, 41, 26, 29, 36, 38, 28, 30, 1000, 126
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 144, 41, 98, 78, 36, 41, 26, 28, 36, 38, 29, 30, 1000, 127
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 144, 41, 99, 76, 36, 41, 26, 28, 36, 38, 29, 31, 1000, 127
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 145, 41, 100, 75, 36, 40, 26, 28, 36, 37, 29, 30, 1000, 125
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 144, 40, 98, 75, 36, 41, 26, 28, 36, 36, 30, 30, 1000, 126
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 143, 41, 96, 75, 36, 41, 25, 28, 36, 35, 29, 30, 1000, 127
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 142, 41, 95, 75, 36, 40, 24, 30, 36, 35, 29, 31, 1000, 128
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 143, 41, 93, 76, 36, 40, 24, 30, 35, 35, 28, 31, 1000, 129
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 143, 41, 90, 74, 37, 40, 24, 31, 35, 33, 28, 30, 1000, 129
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 141, 42, 90, 72, 37, 40, 26, 30, 36, 33, 29, 29, 1000, 131
