#  foam_annealed3_s2.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3276149  0.000609   7.3241  0.000304  1000
    0.0000  5.3275451  0.000421   5.6549  0.000304  1000
    0.0000  5.3275194  0.000394   4.5154  0.000304  1000
    0.0000  5.3274892  0.000436   2.5430  0.000304  1000
    0.0000  5.3274785  0.000409   0.9071  0.000304  1000
    0.0000  5.3274757  0.000426   0.6334  0.000304  1000
#
    0.0000  5.3273135  0.111836  66.6345  0.000304  1000
    0.0000  5.3272667  0.111563  64.5009  0.000304  1000
    0.0000  5.3272567  0.110911  56.3794  0.000304  1000
    0.0000  5.3272524  0.111372  55.4691  0.000304  1000
    0.0000  5.3272496  0.110780  46.3671  0.000304  1000
    0.0000  5.3272481  0.111100  39.5714  0.000304  1000
#
# nndmp := 1
    0.0100  5.3267527  0.115314  66.1124  0.000319  1000
    0.0100  5.3267311  0.113104  55.8020  0.000319  1000
    0.0100  5.3267241  0.113384  66.3961  0.000319  1000
    0.0100  5.3267195  0.113620  43.6515  0.000319  1000
    0.0100  5.3267176  0.113077  41.0702  0.000319  1000
    0.0100  5.3267165  0.113232  36.8173  0.000319  1000
#
    0.0200  5.3261838  0.116258  31.9571  0.000335  1000
    0.0200  5.3261831  0.114632  29.2099  0.000335  1000
    0.0200  5.3261826  0.116129  41.4698  0.000335  1000
    0.0200  5.3261820  0.114661  26.5133  0.000335  1000
    0.0200  5.3261816  0.115938  22.1761  0.000335  1000
    0.0200  5.3261813  0.115308  22.4192  0.000335  1000
#
    0.0300  5.3256483  0.116868  35.0540  0.000354  1000
    0.0300  5.3256480  0.116646  23.8036  0.000354  1000
    0.0300  5.3256478  0.116822  18.1033  0.000354  1000
    0.0300  5.3256477  0.116667  14.6674  0.000354  1000
    0.0300  5.3256476  0.116738  15.8063  0.000354  1000
    0.0300  5.3256475  0.116656  11.9680  0.000354  1000
#
    0.0400  5.3251130  0.117168  32.1102  0.000374  1000
    0.0400  5.3251128  0.117022  15.4808  0.000374  1000
    0.0400  5.3251128  0.117062  15.7963  0.000374  1000
    0.0400  5.3251127  0.117070  13.4255  0.000374  1000
    0.0400  5.3251126  0.117057  15.9664  0.000374  1000
    0.0400  5.3251124  0.117037   6.1212  0.000374  1000
#
    0.0500  5.3245769  0.117485  28.4572  0.000396  1000
    0.0500  5.3245768  0.117380  16.8466  0.000396  1000
    0.0500  5.3245767  0.117399  11.8961  0.000396  1000
    0.0500  5.3245767  0.117392  10.2659  0.000396  1000
    0.0500  5.3245767  0.117384   6.2397  0.000396  1000
    0.0500  5.3245766  0.117389   5.5410  0.000396  1000
#
    0.0600  5.3240399  0.117844  19.5050  0.000419  1000
    0.0600  5.3240399  0.117774  14.4867  0.000419  1000
    0.0600  5.3240398  0.117737   8.6111  0.000419  1000
    0.0600  5.3240398  0.117732  10.6884  0.000419  1000
    0.0600  5.3240397  0.117719   4.1918  0.000419  1000
    0.0600  5.3240397  0.117736   8.5417  0.000419  1000
#
    0.0700  5.3235018  0.118190  22.6473  0.000445  1000
    0.0700  5.3235017  0.118073   4.1296  0.000445  1000
    0.0700  5.3235016  0.118041   9.3531  0.000445  1000
    0.0700  5.3235016  0.118087   8.6901  0.000445  1000
    0.0700  5.3235016  0.118049   9.1822  0.000445  1000
    0.0700  5.3235015  0.118071   5.3227  0.000445  1000
#
    0.0800  5.3229624  0.118525  21.3482  0.000472  1000
    0.0800  5.3229624  0.118438  12.0221  0.000472  1000
    0.0800  5.3229623  0.118417   7.0259  0.000472  1000
    0.0800  5.3229623  0.118439   4.8445  0.000472  1000
    0.0800  5.3229623  0.118413   6.7325  0.000472  1000
    0.0800  5.3229623  0.118418   2.5480  0.000472  1000
#
    0.0900  5.3224219  0.118862  25.7397  0.000500  1000
    0.0900  5.3224218  0.118787  16.2518  0.000500  1000
    0.0900  5.3224218  0.118770   6.5996  0.000500  1000
    0.0900  5.3224218  0.118740   5.0707  0.000500  1000
    0.0900  5.3224217  0.118767   7.8756  0.000500  1000
    0.0900  5.3224217  0.118728   5.0583  0.000500  1000
#
    0.1000  5.3218800  0.119195  27.7687  0.000531  1000
    0.1000  5.3218799  0.119080   2.8318  0.000531  1000
    0.1000  5.3218799  0.119054  10.9141  0.000531  1000
    0.1000  5.3218799  0.119091   6.6920  0.000531  1000
    0.1000  5.3218799  0.119073   3.5526  0.000531  1000
    0.1000  5.3218798  0.119094   2.7032  0.000531  1000
#
    0.1100  5.3213370  0.119530  23.6120  0.000563  1000
    0.1100  5.3213369  0.119420  14.7962  0.000563  1000
    0.1100  5.3213369  0.119418   7.8570  0.000563  1000
    0.1100  5.3213369  0.119418   7.8632  0.000563  1000
    0.1100  5.3213369  0.119416   5.2245  0.000563  1000
    0.1100  5.3213369  0.119406   4.8648  0.000563  1000
#
    0.1200  5.3207927  0.119852  23.4601  0.000597  1000
    0.1200  5.3207926  0.119730   4.7499  0.000597  1000
    0.1200  5.3207926  0.119706   5.8402  0.000597  1000
    0.1200  5.3207925  0.119742   2.8534  0.000597  1000
    0.1200  5.3207925  0.119701   9.2698  0.000597  1000
    0.1200  5.3207925  0.119746   3.6511  0.000597  1000
#
    0.1300  5.3202470  0.120167  23.4879  0.000633  1000
    0.1300  5.3202469  0.120040   9.5269  0.000633  1000
    0.1300  5.3202469  0.120029  10.2586  0.000633  1000
    0.1300  5.3202469  0.120036   6.9983  0.000633  1000
    0.1300  5.3202469  0.120043   4.0213  0.000633  1000
    0.1300  5.3202469  0.120040   4.1093  0.000633  1000
#
    0.1400  5.3197001  0.120482  20.0702  0.000670  1000
    0.1400  5.3197000  0.120024  12.3931  0.000670  1000
    0.1400  5.3197000  0.119989   3.5869  0.000670  1000
    0.1400  5.3197000  0.119954   6.9922  0.000670  1000
    0.1400  5.3197000  0.119969   3.1288  0.000670  1000
    0.1400  5.3197000  0.119925   4.4671  0.000670  1000
#
    0.1500  5.3191519  0.119923  25.9310  0.000710  1000
    0.1500  5.3191518  0.119496  17.9967  0.000710  1000
    0.1500  5.3191518  0.119416   9.3099  0.000710  1000
    0.1500  5.3191518  0.119364   5.8286  0.000710  1000
    0.1500  5.3191517  0.119384   7.3903  0.000710  1000
    0.1500  5.3191517  0.119358   5.6785  0.000710  1000
#
    0.1600  5.3186022  0.119309  26.6915  0.000751  1000
    0.1600  5.3186021  0.118830   6.2105  0.000751  1000
    0.1600  5.3186021  0.118858   8.0223  0.000751  1000
    0.1600  5.3186021  0.118757   6.8382  0.000751  1000
    0.1600  5.3186020  0.118837   5.3163  0.000751  1000
    0.1600  5.3186020  0.118700   6.4219  0.000751  1000
#
    0.1700  5.3180512  0.118686  26.6632  0.000794  1000
    0.1700  5.3180511  0.118224  12.0861  0.000794  1000
    0.1700  5.3180511  0.118232   6.8963  0.000794  1000
    0.1700  5.3180511  0.118134   9.1001  0.000794  1000
    0.1700  5.3180511  0.118159   5.9984  0.000794  1000
    0.1700  5.3180511  0.118102   5.7091  0.000794  1000
#
    0.1800  5.3174988  0.118121  27.3901  0.000838  1000
    0.1800  5.3174988  0.117776  15.9541  0.000838  1000
    0.1800  5.3174987  0.117565   7.0786  0.000838  1000
    0.1800  5.3174987  0.117575   6.1906  0.000838  1000
    0.1800  5.3174987  0.117519   7.4676  0.000838  1000
    0.1800  5.3174987  0.117492   5.8181  0.000838  1000
#
