step, energy
1, 5.29592
2, 5.29395
3, 5.29266
4, 5.290006
5, 5.287189
6, 5.281631
7, 5.279406
8, 5.278636
9, 5.277142
10, 5.276436
11, 5.273179
12, 5.272389
13, 5.270736
14, 5.269123
15, 5.268277
16, 5.26564
17, 5.264685
18, 5.263799
19, 5.261252
20, 5.260243
21, 5.2593
22, 5.258172
23, 5.257209
24, 5.256366
25, 5.255262
26, 5.253986
27, 5.252913
28, 5.251847
29, 5.248592
30, 5.247398
31, 5.246296
32, 5.243854
33, 5.241327
34, 5.238458
35, 5.236633
36, 5.235019
37, 5.23364
38, 5.228998
39, 5.226976
40, 5.225352
41, 5.223799
42, 5.222076
43, 5.219798
44, 5.218006
45, 5.214395
46, 5.212568
47, 5.210692
48, 5.208087
49, 5.205765
50, 5.203624
51, 5.201169
52, 5.198369
53, 5.195239
54, 5.193023
55, 5.190501
56, 5.187668
57, 5.182159
58, 5.178577
59, 5.172291
60, 5.168797
61, 5.165112
62, 5.158607
63, 5.155645
64, 5.15255
65, 5.148596
66, 5.144808
67, 5.141197
68, 5.135719
69, 5.131886
70, 5.127349
71, 5.122699
72, 5.117179
73, 5.11259
74, 5.108084
75, 5.103737
76, 5.099462
77, 5.094991
78, 5.088987
79, 5.083849
80, 5.078922
81, 5.073677
82, 5.068347
83, 5.062853
84, 5.056074
85, 5.050738
86, 5.043912
87, 5.036537
88, 5.029877
89, 5.023361
90, 5.014504
91, 5.007201
92, 4.999282
93, 4.991553
94, 4.98242
95, 4.974406
96, 4.964471
97, 4.956448
98, 4.948796
99, 4.938887
100, 4.922988
101, 4.912487
102, 4.905392
103, 4.896289
104, 4.887251
105, 4.877421
106, 4.85999
107, 4.858234
108, 4.844429
109, 4.833573
110, 4.824325
111, 4.812638
112, 4.791001
113, 4.788547
114, 4.78558
115, 4.774075
116, 4.76338
117, 4.757506
118, 4.757144
119, 4.750856
120, 4.73892
121, 4.727295
122, 4.718217
123, 4.710162
124, 4.709969
125, 4.698154
126, 4.691299
127, 4.677645
128, 4.664104
129, 4.652686
130, 4.648685
131, 4.641846
132, 4.632004
133, 4.629487
134, 4.625613
135, 4.61227
136, 4.598749
137, 4.591322
138, 4.573533
139, 4.568924
140, 4.555061
141, 4.547802
142, 4.541848
143, 4.531189
144, 4.526669
145, 4.515707
146, 4.509753
147, 4.501913
148, 4.492362
149, 4.485525
150, 4.48386
151, 4.474976
152, 4.468308
153, 4.453846
154, 4.435572
155, 4.42729
156, 4.409663
157, 4.395343
158, 4.389733
159, 4.382304
160, 4.369454
161, 4.364883
162, 4.355557
163, 4.336684
164, 4.328868
165, 4.319054
166, 4.303584
167, 4.296882
168, 4.295401
169, 4.286506
170, 4.272596
171, 4.264736
172, 4.261353
173, 4.256819
174, 4.249026
175, 4.247439
176, 4.231957
177, 4.227306
178, 4.212667
179, 4.19174
180, 4.19053
181, 4.180459
182, 4.168912
183, 4.163482
184, 4.147997
185, 4.129512
186, 4.124922
187, 4.120267
188, 4.118701
189, 4.109261
190, 4.106786
191, 4.095066
192, 4.090337
193, 4.085521
194, 4.08167
195, 4.072057
196, 4.069688
197, 4.06541
198, 4.060487
199, 4.05177
200, 4.03619
201, 4.03333
202, 4.023048
203, 4.019914
204, 4.01807
205, 4.017193
206, 4.016541
207, 3.992305
208, 3.985654
209, 3.98443
210, 3.977552
211, 3.97415
212, 3.967934
213, 3.967349
214, 3.954318
215, 3.944539
216, 3.942558
217, 3.939471
218, 3.926764
219, 3.924159
220, 3.920232
221, 3.904424
222, 3.902725
223, 3.890497
224, 3.885479
225, 3.870653
226, 3.865894
227, 3.85374
228, 3.846889
229, 3.839153
230, 3.827193
231, 3.826295
232, 3.816266
233, 3.813828
234, 3.811921
235, 3.797982
236, 3.789757
237, 3.789259
238, 3.781947
239, 3.780248
240, 3.766503
241, 3.763668
242, 3.753038
243, 3.7407
244, 3.733712
245, 3.719474
246, 3.717108
247, 3.696975
