step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam1, 100.0, 13.784, 0.0019456388864131924, 1.0535300816546282, 0.0
foam2, 100.0, 13.784, 0.00574700372653747, 1.0540248794281535, 0.55
foam3, 100.0, 13.784, 0.006118336516769407, 1.0540573220217355, 0.58
foam4, 100.0, 13.782, 0.006383119076443178, 1.0540127420161078, 0.6
foam5, 100.0, 13.782, 0.006934417330936693, 1.0540721512025852, 0.64
foam6, 100.0, 13.782, 0.007533028282123988, 1.0541875249824977, 0.68
foam7, 100.0, 13.782, 0.008829843961393635, 1.0542611212380812, 0.76
foam8, 100.0, 13.782, 0.009362659649062355, 1.0543026990440074, 0.79
foam9, 100.0, 13.782, 0.009561643583778645, 1.0543911541019184, 0.8
foam10, 100.0, 13.782, 0.009932460206301785, 1.054372161004972, 0.82
foam11, 100.0, 13.782, 0.010129171921133606, 1.0543464508129645, 0.83
foam12, 100.0, 13.782, 0.010924837767611661, 1.0543814665935631, 0.87
foam13, 100.0, 13.782, 0.011143599419864536, 1.0544542586709367, 0.88
foam14, 100.0, 13.782, 0.011569046806722882, 1.054510011543841, 0.9
foam15, 100.0, 13.782, 0.012006519060507426, 1.0545676605189682, 0.92
foam16, 100.0, 13.782, 0.012239535239522148, 1.054681443783803, 0.93
foam17, 100.0, 13.782, 0.012961425495538137, 1.0550066591948632, 0.96
foam18, 100.0, 13.782, 0.013199323311974931, 1.0550315039451443, 0.97
foam19, 100.0, 13.782, 0.013444430683921205, 1.0550431860883753, 0.98
foam20, 100.0, 13.782, 0.014212499561343073, 1.0551397744138666, 1.01
foam21, 100.0, 13.782, 0.014476718917850295, 1.0551696726354214, 1.02
foam22, 100.0, 13.782, 0.014757159498337336, 1.0552781875640522, 1.03
foam23, 100.0, 13.782, 0.015027172250926757, 1.0553408766719792, 1.04
foam24, 100.0, 13.782, 0.01530434363650035, 1.055391793343197, 1.05
foam25, 100.0, 13.782, 0.015592078673362986, 1.0554086361439803, 1.06
foam26, 100.0, 13.78, 0.015893305798356572, 1.0554798870658582, 1.07
foam27, 100.0, 13.78, 0.016216337455242424, 1.0555133790892843, 1.08
foam28, 100.0, 13.78, 0.016527453742880116, 1.0556955683795795, 1.09
foam29, 100.0, 13.78, 0.016825376473981857, 1.055701234823864, 1.1
foam30, 100.0, 13.78, 0.017761324886300223, 1.0558007861029033, 1.13
foam31, 100.0, 13.78, 0.018084961833244373, 1.0558215795799306, 1.14
foam32, 100.0, 13.78, 0.01841129167071398, 1.0559728193150477, 1.15
foam33, 100.0, 13.78, 0.019110048785169864, 1.0561519710126852, 1.17
foam34, 100.0, 13.78, 0.01982410743064289, 1.056244337290887, 1.19
foam35, 100.0, 13.78, 0.02055928449208322, 1.0563068940986724, 1.21
foam36, 100.0, 13.778, 0.021042749551616113, 1.0560655385260567, 1.22
foam37, 100.0, 13.774, 0.021488559038413957, 1.0560958421229767, 1.23
foam38, 100.0, 13.774, 0.02188144934606817, 1.0561123314037069, 1.24
foam39, 100.0, 13.77, 0.02314993005757615, 1.0562950364155688, 1.27
foam40, 100.0, 13.766, 0.0236523091585763, 1.056145601632909, 1.28
foam41, 100.0, 13.766, 0.024109777496838403, 1.056226763569753, 1.29
foam42, 100.0, 13.764, 0.024596892260217773, 1.0563341361364427, 1.3
foam43, 100.0, 13.762, 0.025082178155728663, 1.0564699058911258, 1.31
foam44, 100.0, 13.758, 0.025621513582436917, 1.0563936436358496, 1.32
foam45, 100.0, 13.756, 0.026111686897642983, 1.056416666430184, 1.33
foam46, 100.0, 13.756, 0.027124171651983442, 1.0565557711363889, 1.35
foam47, 100.0, 13.754, 0.027670718035712527, 1.0568073370622872, 1.36
foam48, 100.0, 13.752, 0.0282069468439905, 1.056759969668723, 1.37
foam49, 100.0, 13.752, 0.028751578720183524, 1.0568912389998282, 1.38
foam50, 100.0, 13.75, 0.02932030142365072, 1.0569858423056098, 1.39
foam51, 100.0, 13.746, 0.02992874951132496, 1.0561876558812966, 1.4
foam52, 100.0, 13.744, 0.030514365284526113, 1.0561075180572295, 1.41
foam53, 100.0, 13.744, 0.031165629632590175, 1.0565506667644646, 1.42
foam54, 100.0, 13.738, 0.031895213852544346, 1.0565409624476694, 1.43
foam55, 100.0, 13.738, 0.032526320387827434, 1.0566613664638886, 1.44
